Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2116,2,"Arm Ergometer, hand bike, 15W","Arm Ergometer, hand bike, 15W | Ergometer lengan, basikal tangan, 15W",手臂测功仪，手动自行车，15 瓦,"Xe đạp tay ergometer, xe đạp tay, 15W"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2117,2.8,"Arm Ergometer, hand bike, 25-30W","Arm Ergometer, hand bike, 25-30W | Ergometer lengan, basikal tangan, 25-30W",手臂测功仪，手动自行车，25-30 瓦,"Xe đạp tay ergometer, xe đạp tay, 25-30W"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2118,3.5,"Arm Ergometer, hand bike, 45W","Arm Ergometer, hand bike, 45W | Ergometer lengan, basikal tangan, 45W",手臂测功仪，手动自行车，45 瓦,"Xe đạp tay ergometer, xe đạp tay, 45W"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2119,4.3,"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity","Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity | Senaman bahagian atas badan, basikal pegun - Airdyne (lengan sahaja) 40 rpm, intensiti sederhana",上肢锻炼，固定自行车 - Airdyne（仅手臂）40 转/分钟，中等强度,"Bài tập phần trên cơ thể, xe đạp cố định - Airdyne (chỉ tay) 40 vòng/phút, cường độ vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2120,5.3,"Water aerobics, water calisthenics, water exercise","Water aerobics, water calisthenics, water exercise | Aerobik air, kalistenik air, senaman air",水中有氧运动，水中徒手操，水中锻炼,"Thể dục nhịp điệu dưới nước, bài tập dưới nước, tập luyện dưới nước"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2135,1.3,"Whirlpool, sitting","Whirlpool, sitting | Kolam pusaran, duduk",漩涡浴，坐姿,"Bồn xoáy nước, ngồi"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2140,2.5,"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort","Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort | Video, senaman, program TV (cth., yoga, regangan, duduk), usaha ringan",视频，锻炼，电视健身节目（如瑜伽、拉伸、坐姿），轻度,"Video, bài tập luyện, chương trình thể dục trên TV (ví dụ: yoga, duỗi cơ, ngồi), cường độ nhẹ"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2143,4,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate | Video, senaman, program TV (cth., latihan kardio-rintangan), sederhana",视频，锻炼，电视健身节目（如心肺阻力训练），中等强度,"Video, bài tập luyện, chương trình thể dục trên TV (ví dụ: tập kháng lực tim mạch), cường độ vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2145,6,"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous","Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous | Video, senaman, program TV (cth., latihan kardio-rintangan), kuat",视频，锻炼，电视健身节目（如心肺阻力训练），剧烈强度,"Video, bài tập luyện, chương trình thể dục trên TV (ví dụ: tập kháng lực tim mạch), cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2150,2.3,"Yoga, Hatha","Yoga, Hatha | Yoga, Hatha",瑜伽，哈他瑜伽,"Yoga, Hatha"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2153,8,"Yoga, Hatha, high intensity","Yoga, Hatha, high intensity | Yoga, Hatha, intensiti tinggi",瑜伽，哈他瑜伽，高强度,"Yoga, Hatha, cường độ cao"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2155,3,"Yoga, Hot","Yoga, Hot | Yoga, Panas",瑜伽，热瑜伽,"Yoga, nóng"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2160,4,"Yoga, Power","Yoga, Power | Yoga, Power",瑜伽，力量瑜伽,"Yoga, Power"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2170,2,"Yoga, Nadisodhana","Yoga, Nadisodhana | Yoga, Nadisodhana",瑜伽，纳迪梭哈那,"Yoga, Nadisodhana"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2175,2.3,"Yoga, General","Yoga, General | Yoga, Umum",瑜伽，一般,"Yoga, chung"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2180,3.5,"Yoga, Surya Namaskar","Yoga, Surya Namaskar | Yoga, Surya Namaskar",瑜伽，拜日式,"Yoga, Surya Namaskar"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2185,2.7,"Yoga, Vinyasa","Yoga, Vinyasa | Yoga, Vinyasa",瑜伽，流瑜伽（Vinyasa）,"Yoga, Vinyasa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2200,5.3,"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort","Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort | Aktiviti fizikal penduduk asli New Zealand (cth., Haka Powhiri, Poi, Moteatea, dll.), usaha sederhana",新西兰毛利人传统体育活动（如 Haka Powhiri、Poi、Moteatea 等），一般中等强度,"Hoạt động thể chất truyền thống của người New Zealand (ví dụ: Haka Powhiri, Poi, Moteatea, v.v.), cường độ vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2205,6.8,"Native New Zealander PA, general, vigorous effort","Native New Zealander PA, general, vigorous effort | Aktiviti fizikal penduduk asli New Zealand, umum, usaha kuat",新西兰毛利人传统体育活动，一般，剧烈强度,"Hoạt động thể chất truyền thống của người New Zealand, chung, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2210,7,"High intensity interval exercise,  moderate effort","High intensity interval exercise, moderate effort | Senaman selang intensiti tinggi, usaha sederhana",高强度间歇锻炼，中等强度,"Bài tập cường độ cao ngắt quãng, cường độ vừa"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2214,11,"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort","High intensity interval exercise, burpees, mountain climbers, squat jumps, Tabata, vigorous effort | Senaman selang intensiti tinggi, burpees, pendaki gunung, lompatan squat, Tabata, usaha kuat",高强度间歇锻炼，波比跳、登山跑、深蹲跳、Tabata，剧烈强度,"Bài tập cường độ cao ngắt quãng, burpee, leo núi, nhảy squat, Tabata, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2225,2.3,"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo","Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo | Robot Bantu Senaman Keseimbangan (BEAR), simulasi ski, tenis, rodeo",平衡锻炼辅助机器人（BEAR），模拟滑雪、网球、牛仔竞技,"Robot hỗ trợ bài tập thăng bằng (BEAR), mô phỏng trượt tuyết, tennis, cưỡi bò"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2230,5.8,Hooping (formerly known as hula® hooping),Hooping (formerly known as hula® hooping) | Hooping (dahulunya dikenali sebagai hula hoop),呼啦圈运动（原称 hula® hooping）,Lắc vòng (trước đây gọi là hula® hooping)
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2240,9,"Impulse Training System, Inertial Exercise Trainer","Impulse Training System, Inertial Exercise Trainer | Sistem Latihan Impuls, Jurulatih Senaman Inersia",冲击训练系统，惯性训练器,"Hệ thống đào tạo xung lực, máy tập quán tính"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2280,7.9,"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity","Virtual Reality Fitness, Supernatural™ “Flow”, “Boxing"" vigorous intensity | Kecergasan Realiti Maya, Supernatural™ “Flow”, “Boxing”, intensiti tinggi",虚拟现实健身，Supernatural™ “Flow”、“Boxing” 剧烈强度,"Tập thể dục thực tế ảo, Supernatural™ “Flow”, “Boxing” cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2284,9.3,"ExerCube, workout series","ExerCube, workout series | ExerCube, siri senaman",ExerCube，锻炼系列,"ExerCube, chuỗi bài tập"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2288,13,"Blackbox Immersive virtual reality exergaming system, vigorous intensity","Blackbox Immersive virtual reality exergaming system, vigorous intensity | Sistem permainan senaman realiti maya Blackbox, intensiti tinggi",Blackbox 沉浸式虚拟现实健身系统，剧烈强度,"Hệ thống tập thể dục thực tế ảo Blackbox, cường độ mạnh"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2300,3,"Wand exercise, Life-Build-Line","Wand exercise, Life-Build-Line | Senaman tongkat, Life-Build-Line",棒操，Life-Build-Line,"Bài tập với gậy, Life-Build-Line"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2310,6.5,"Zumba, group class","Zumba, group class | Zumba, kelas berkumpulan",尊巴，团体课程,"Zumba, lớp học nhóm"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2315,5.5,"Zumba, home video","Zumba, home video | Zumba, video rumah",尊巴，家庭视频,"Zumba, video tại nhà"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2340,2.8,"Sit to stand exercise, 6-12 times/min","Sit to stand exercise, 6-12 times/min | Senaman duduk ke berdiri, 6-12 kali/minit",坐立交替锻炼，6-12 次/分钟,"Bài tập đứng lên ngồi xuống, 6-12 lần/phút"
Conditioning Exercise,Senaman Kondisioning,体能训练,Bài tập thể lực,2344,4,"Sit to stand exercise, 18-24 times/min","Sit to stand exercise, 18-24 times/min | Senaman duduk ke berdiri, 18-24 kali/minit",坐立交替锻炼，18-24 次/分钟,"Bài tập đứng lên ngồi xuống, 18-24 lần/phút"
Dancing,Menari,跳舞,Khiêu vũ,3005,6,"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)","Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements) | Salsa Afro-Cuba (cha-cha-cha Cuba, mambo, rumba Afro, langkah contratiempo son, gerakan orisha/santo)",非洲-古巴萨尔萨（古巴恰恰、曼波、非洲伦巴、Contratiempo son 步伐、orisha/santo 动作）,"Salsa Afro-Cuba (cha-cha-cha Cuba, mambo, rumba Afro, bước contratiempo son, động tác orisha/santo)"
Dancing,Menari,跳舞,Khiêu vũ,3010,5,"Ballet, modern, or jazz general, rehearsal or class","Ballet, modern, or jazz general, rehearsal or class | Balet, moden, atau jazz, umum, latihan atau kelas",芭蕾、现代舞或爵士舞，一般，排练或课程,"Ballet, hiện đại hoặc jazz, chung, tập luyện hoặc lớp học"
Dancing,Menari,跳舞,Khiêu vũ,3011,6.3,"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)","Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's) | Latihan balet (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)",芭蕾动作（屈膝、伸展、跳跃、绕腿、屈伸、大踢腿、大慢板、弹跳、轻跳）,"Bài tập ballet (plié, tendus, jetés, rond de jambés, fondus, grand battement, grand adage, sautés, temps levé)"
Dancing,Menari,跳舞,Khiêu vũ,3012,6.8,"Ballet, modern, or jazz, performance, vigorous effort","Ballet, modern, or jazz, performance, vigorous effort | Balet, moden, atau jazz, persembahan, usaha kuat",芭蕾、现代舞或爵士舞，表演，剧烈强度,"Ballet, hiện đại hoặc jazz, biểu diễn, cường độ mạnh"
Dancing,Menari,跳舞,Khiêu vũ,3014,4.8,Tap,Tap | Tap,踢踏舞,Tap dance
Dancing,Menari,跳舞,Khiêu vũ,3025,4.5,"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)","Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing) | Tarian etnik atau budaya (cth., Yunani, Timur Tengah, hula, salsa, merengue, bamba y plena, flamenco, belly, dan swing)",民族或文化舞蹈（如希腊、中东、呼啦、萨尔萨、梅伦格、bamba y plena、弗拉门戈、肚皮舞、摇摆舞）,"Nhảy múa dân tộc hoặc văn hóa (ví dụ: Hy Lạp, Trung Đông, hula, salsa, merengue, bamba y plena, flamenco, belly dance, swing)"
Dancing,Menari,跳舞,Khiêu vũ,3028,5.5,"Chinese square dance, Ballet & Tibetan dance","Tarian persegi Cina, Ballet & Tarian Tibet",广场舞，芭蕾舞与藏族舞,"Múa quảng trường Trung Quốc, múa ba lê & múa Tây Tạng"
Dancing,Menari,跳舞,Khiêu vũ,3029,7.3,"Chinese square dance, aerobic dance","Tarian persegi Cina, tarian aerobik",广场舞，有氧舞蹈,"Múa quảng trường Trung Quốc, múa thể dục nhịp điệu"
Dancing,Menari,跳舞,Khiêu vũ,3030,5.5,"Ballroom dancing, fast (Taylor Code 125)","Tarian ballroom, laju (Kod Taylor 125)",交谊舞，快速（Taylor Code 125）,"Múa khiêu vũ, nhanh (Taylor Code 125)"
Dancing,Menari,跳舞,Khiêu vũ,3031,9.8,"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)","Tarian kelab malam atau tradisional, usaha kuat (contoh: kelab malam, disko, tradisional, tarian berbaris, tarian langkah Ireland, polka, contra)",夜店或民间舞蹈，剧烈强度（如夜店、迪斯科、民间舞、排舞、爱尔兰踢踏舞、波尔卡、康特拉舞）,"Khiêu vũ câu lạc bộ đêm hoặc múa dân gian, gắng sức mạnh (ví dụ: nightclub, disco, múa dân gian, line dancing, Irish step, polka, contra)"
Dancing,Menari,跳舞,Khiêu vũ,3033,5,"Folk dancing, moderate effort","Tarian tradisional, usaha sederhana",民间舞蹈，中等强度,"Múa dân gian, gắng sức vừa phải"
Dancing,Menari,跳舞,Khiêu vũ,3038,11.3,"Ballroom dancing, competitive, general","Tarian ballroom, kompetitif, am",交谊舞，竞技，一般,"Khiêu vũ, thi đấu, tổng quát"
Dancing,Menari,跳舞,Khiêu vũ,3039,13,"ballroom dance, DanceSport competition (modern waltz, tango, Viennese waltz, slow fox, quick step, samba, chacha, rumba, paso doble, jive)","Tarian ballroom, pertandingan DanceSport (waltz moden, tango, waltz Vienna, slow fox, quick step, samba, chacha, rumba, paso doble, jive)",交谊舞，体育舞蹈比赛（现代华尔兹、探戈、维也纳华尔兹、慢狐步、快步舞、桑巴、恰恰、伦巴、斗牛舞、牛仔舞）,"Khiêu vũ, DanceSport (Valse hiện đại, Tango, Valse Vienna, Foxtrot chậm, Quickstep, Samba, Cha-cha, Rumba, Paso doble, Jive)"
Dancing,Menari,跳舞,Khiêu vũ,3040,3,"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha","Ballroom, perlahan, contoh: waltz, foxtrot, tarian perlahan, samba tango, rumba, tarian abad ke-19, mambo, cha cha",交谊舞，缓慢，如：华尔兹、狐步舞、慢舞、桑巴探戈、伦巴、19世纪舞蹈、曼波、恰恰,"Khiêu vũ, chậm, ví dụ: Valse, Foxtrot, khiêu vũ chậm, Samba Tango, Rumba, điệu nhảy thế kỷ 19, Mambo, Cha cha"
Dancing,Menari,跳舞,Khiêu vũ,3042,6,"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)","Tarian Ballroom, Rekreasi (Waltz, Foxtrot, Cha-cha, Swing)",交谊舞，娱乐性（华尔兹、狐步舞、恰恰、摇摆舞）,"Khiêu vũ giao lưu, giải trí (Valse, Foxtrot, Cha-cha, Swing)"
Dancing,Menari,跳舞,Khiêu vũ,3050,5.5,"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort","Tarian Jingle Anishinaabe, langkah pantas, tarian tradisional lain orang Asli Amerika yang dilakukan oleh wanita, usaha sederhana",阿尼什纳贝响铃舞，快速节奏，其他由女性表演的传统美洲印第安舞蹈，中等强度,"Điệu múa Anishinaabe Jingle, nhịp nhanh, các điệu múa truyền thống khác của phụ nữ người Mỹ bản địa, gắng sức vừa phải"
Dancing,Menari,跳舞,Khiêu vũ,3060,3.5,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki  Mini, Gere, Gumbay, Ibo, Jonkonnu,
Kumina,  Oreisha, Jambu)","Tarian Caribbean (Abakua, Beguine, Bellair, Bongo, Brukin’s, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)",加勒比舞蹈（阿巴库阿、贝吉纳、贝莱尔、邦戈、布鲁金斯、加勒比方舞、丁基米尼、格雷、贡贝、伊博、琼科努、库米纳、奥雷沙、占布）,"Múa Caribe (Abakua, Beguine, Bellair, Bongo, Brukin’s, Quadrills Caribe, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)"
Dancing,Menari,跳舞,Khiêu vũ,3070,3.8,"Contemporary dancing, general","Tarian kontemporari, am",现代舞蹈，一般,"Múa đương đại, tổng quát"
Dancing,Menari,跳舞,Khiêu vũ,3072,4.3,"Contemporary dancing, nightclub","Tarian kontemporari, kelab malam",现代舞蹈，夜店,"Múa đương đại, câu lạc bộ đêm"
Dancing,Menari,跳舞,Khiêu vũ,3075,8.5,Flamenco dance,Tarian Flamenco,弗拉门戈舞,Múa Flamenco
Dancing,Menari,跳舞,Khiêu vũ,3078,4.5,"Jazz dancing, general","Tarian Jazz, am",爵士舞，一般,"Múa Jazz, tổng quát"
Dancing,Menari,跳舞,Khiêu vũ,3080,10.3,"Musical Theater, Singing/dancing","Teater Muzikal, Menyanyi/tarian",音乐剧，唱歌/跳舞,"Nhạc kịch, hát/múa"
Dancing,Menari,跳舞,Khiêu vũ,3085,5.8,"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan","Tarian Polynesia, hula Hawaii perlahan, haka Maori, Tongan",波利尼西亚舞，夏威夷草裙舞（慢）、毛利哈卡舞、汤加舞,"Múa Polynesia, Hula Hawaii chậm, Haka Maori, múa Tonga"
Dancing,Menari,跳舞,Khiêu vũ,3086,7,"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling","Tarian Polynesia, hula Hawaii laju, Samoan sasa, gaya Fijian laju, Filipino Tinikling",波利尼西亚舞，夏威夷草裙舞（快）、萨摩亚萨萨舞、斐济快舞、菲律宾竹竿舞,"Múa Polynesia, Hula Hawaii nhanh, Sasa Samoa, múa nhanh Fiji, Tinikling Philippines"
Dancing,Menari,跳舞,Khiêu vũ,3087,8.8,"Polynesian dance, Samoan slap, Tahitian","Tarian Polynesia, Samoan slap, Tahiti",波利尼西亚舞，萨摩亚拍手舞、大溪地舞,"Múa Polynesia, múa vỗ Samoa, Tahiti"
Dancing,Menari,跳舞,Khiêu vũ,3090,4.8,"Salsa Dancing, with partner","Tarian Salsa, bersama pasangan",萨尔萨舞，双人,"Múa Salsa, với bạn nhảy"
Dancing,Menari,跳舞,Khiêu vũ,3091,6.3,"Salsa dancing, to a video","Tarian Salsa, ikut video",萨尔萨舞，视频跟跳,"Múa Salsa, theo video"
Dancing,Menari,跳舞,Khiêu vũ,3093,5.5,"Square Dancing, American Western, country","Tarian Persegi, Amerika Barat, negara",广场舞，美国西部乡村舞,"Múa vuông, kiểu Mỹ phương Tây, đồng quê"
Running,Berlari,跑步,Chạy bộ,12010,6,Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180),Gabungan jog/lari (komponen jog kurang dari 10 minit) (Kod Taylor 180),慢跑/步行结合（慢跑成分少于10分钟）（Taylor Code 180）,Chạy bộ/kết hợp đi bộ (phần chạy < 10 phút) (Taylor Code 180)
Running,Berlari,跑步,Chạy bộ,12020,7.5,"Jogging, general, self-selected pace","Jogging, am, kadar sendiri",慢跑，一般，自选速度,"Chạy bộ, tổng quát, tốc độ tự chọn"
Running,Berlari,跑步,Chạy bộ,12025,4.8,"Jogging, in place",Jogging di tempat,原地慢跑,Chạy bộ tại chỗ
Running,Berlari,跑步,Chạy bộ,12026,3.3,Jogging 2.6 to 3.7 mph,Jogging 2.6 hingga 3.7 mph,慢跑，2.6 至 3.7 英里/小时,Chạy bộ 2.6 – 3.7 mph
Running,Berlari,跑步,Chạy bộ,12027,4.5,Jogging on a mini-tramp,Jogging di mini-trampolin,迷你蹦床慢跑,Chạy bộ trên mini-trampoline
Running,Berlari,跑步,Chạy bộ,12028,6.5,"Running, 4 to 4.2 mph (13 min/mile)","Lari, 4 hingga 4.2 mph (13 min/mile)",跑步，4 至 4.2 英里/小时（13 分钟/英里）,Chạy 4 – 4.2 mph (13 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12029,7.8,Running 4.3 to 4.8 mph,Lari 4.3 hingga 4.8 mph,跑步，4.3 至 4.8 英里/小时,Chạy 4.3 – 4.8 mph
Running,Berlari,跑步,Chạy bộ,12030,8.5,"Running, 5.0 to 5.2 mph (12 min/mile)","Lari, 5.0 hingga 5.2 mph (12 min/mile)",跑步，5.0 至 5.2 英里/小时（12 分钟/英里）,Chạy 5.0 – 5.2 mph (12 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12045,9,"Running, 5.5 -5.8 mph","Lari, 5.5 hingga 5.8 mph",跑步，5.5 - 5.8 英里/小时,Chạy 5.5 – 5.8 mph
Running,Berlari,跑步,Chạy bộ,12050,9.3,"Running, 6-6.3 mph (10 min/mile)","Lari, 6-6.3 mph (10 min/mile)",跑步，6 - 6.3 英里/小时（10 分钟/英里）,Chạy 6 – 6.3 mph (10 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12060,10.5,"Running, 6.7 mph (9 min/mile)","Lari, 6.7 mph (9 min/mile)",跑步，6.7 英里/小时（9 分钟/英里）,Chạy 6.7 mph (9 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12070,11,"Running, 7 mph (8.5 min/mile)","Lari, 7 mph (8.5 min/mile)",跑步，7 英里/小时（8.5 分钟/英里）,Chạy 7 mph (8.5 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12080,11.8,"Running, 7.5 mph (8 min/mile)","Lari, 7.5 mph (8 min/mile)",跑步，7.5 英里/小时（8 分钟/英里）,Chạy 7.5 mph (8 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12090,12,"Running, 8 mph (7.5 min/mile)","Lari, 8 mph (7.5 min/mile)",跑步，8 英里/小时（7.5 分钟/英里）,Chạy 8 mph (7.5 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12100,12.5,"Running, 8.6 mph (7 min/mile)","Lari, 8.6 mph (7 min/mile)",跑步，8.6 英里/小时（7 分钟/英里）,Chạy 8.6 mph (7 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12110,13,"Running, 9 mph (6.5 min/mile)","Lari, 9 mph (6.5 min/mile)",跑步，9 英里/小时（6.5 分钟/英里）,Chạy 9 mph (6.5 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12115,14.8,"Running, 9.3 to 9.6 mph","Lari, 9.3 hingga 9.6 mph",跑步，9.3 至 9.6 英里/小时,Chạy 9.3 – 9.6 mph
Running,Berlari,跑步,Chạy bộ,12120,14.8,"Running, 10 mph (6 min/mile)","Lari, 10 mph (6 min/mile)",跑步，10 英里/小时（6 分钟/英里）,Chạy 10 mph (6 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12130,16.8,"Running, 11 mph (5.5 min/mile)","Lari, 11 mph (5.5 min/mile)",跑步，11 英里/小时（5.5 分钟/英里）,Chạy 11 mph (5.5 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12132,18.5,"Running, 12 mph (5.0 min/mile)","Lari, 12 mph (5.0 min/mile)",跑步，12 英里/小时（5 分钟/英里）,Chạy 12 mph (5.0 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12134,19.8,"Running, 13 mph (4.6 min/mile)","Lari, 13 mph (4.6 min/mile)",跑步，13 英里/小时（4.6 分钟/英里）,Chạy 13 mph (4.6 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12135,23,"Running, 14 mph (4.3 min/mile)","Lari, 14 mph (4.3 min/mile)",跑步，14 英里/小时（4.3 分钟/英里）,Chạy 14 mph (4.3 phút/dặm)
Running,Berlari,跑步,Chạy bộ,12140,9.3,"Running, cross country",Lari merentas desa,越野跑,Chạy băng đồng
Running,Berlari,跑步,Chạy bộ,12145,10.5,"Running, self-selected pace","Lari, kadar sendiri",跑步，自选速度,"Chạy, tốc độ tự chọn"
Running,Berlari,跑步,Chạy bộ,12150,8,Running (Taylor Code 200),Lari (Kod Taylor 200),跑步（Taylor Code 200）,Chạy (Taylor Code 200)
Running,Berlari,跑步,Chạy bộ,12170,15,"Running, stairs, up","Lari, menaiki tangga",跑楼梯,Chạy lên cầu thang
Running,Berlari,跑步,Chạy bộ,12180,10,"Running, on a track, team practice","Lari di trek, latihan berpasukan",跑步，跑道上，团队训练,"Chạy, trên đường chạy, tập luyện đội"
Running,Berlari,跑步,Chạy bộ,12184,18,"Running, on track, 500-1500m, competitive","Lari di trek, 500-1500m, kompetitif",跑步，跑道上，500-1500 米，竞技,"Chạy, trên đường chạy, 500–1500m, thi đấu"
Running,Berlari,跑步,Chạy bộ,12186,19.3,"Running, on track, 2000-3000m, competitive","Lari di trek, 2000-3000m, kompetitif",跑步，跑道上，2000-3000 米，竞技,"Chạy, trên đường chạy, 2000–3000m, thi đấu"
Running,Berlari,跑步,Chạy bộ,12190,8,"Running, training, pushing a wheelchair or baby carrier","Lari, latihan, menolak kerusi roda atau troli bayi",跑步，训练，推轮椅或婴儿车,"Chạy, tập luyện, đẩy xe lăn hoặc xe đẩy em bé"
Running,Berlari,跑步,Chạy bộ,12200,13.3,"Running, marathon","Lari, maraton",马拉松,Chạy marathon
Running,Berlari,跑步,Chạy bộ,12255,10.3,"Running uphill, 4.5mph, 5% incline","Lari mendaki bukit, 4.5 mph, cerun 5%",上坡跑，4.5 英里/小时，5% 坡度,"Chạy lên dốc, 4.5 mph, độ dốc 5%"
Running,Berlari,跑步,Chạy bộ,12260,13.3,"Running uphill, 6.0 mph, 5% incline","Lari mendaki bukit, 6.0 mph, cerun 5%",上坡跑，6.0 英里/小时，5% 坡度,"Chạy lên dốc, 6.0 mph, độ dốc 5%"
Running,Berlari,跑步,Chạy bộ,12265,15.5,"Running uphill, 7.0 mph, 5% incline","Lari mendaki bukit, 7.0 mph, cerun 5%",上坡跑，7.0 英里/小时，5% 坡度,"Chạy lên dốc, 7.0 mph, độ dốc 5%"
Running,Berlari,跑步,Chạy bộ,12325,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline","Lari mendaki bukit, 5.0 hingga 5.9 mph, cerun 15%",上坡跑，5.0 至 5.9 英里/小时，15% 坡度,"Chạy lên dốc, 5.0 – 5.9 mph, độ dốc 15%"
